sep=	
"Question:"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"
"‡ = small sample size"	
"[1]: = not available due to small sample size"	
"[2]: = missing value"	
"Note:"	""
"Source of Data:"	"NA"
"Last update:"	"NA"
"Hyperlink to the variable:"	"NA?plot=heatMap&topic=&question=fa1_5&superSubset=1&subset=AllSubset&subsetValue=01. All"
"General Disclaimer of the FRA website:"	"NA"
"Code:"	"fa1_5"
"Subset Value:"	"All"
""
"CountryCode"	"question_code"	"question_label"	"subset"	"answer"	"percentage"	"notes"
"Portugal"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	6	"‡"
"Romania"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	62	""
"Romania"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	31	""
"Romania"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	7	"‡"
"Sweden"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	46	""
"Sweden"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	46	""
"Sweden"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	9	""
"Slovenia"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	64	"‡"
"Slovenia"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	31	"‡"
"Slovenia"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	5	"‡"
"Slovakia"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	64	""
"Slovakia"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	28	""
"Slovakia"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	8	"‡"
"United Kingdom"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	58	""
"United Kingdom"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	35	""
"United Kingdom"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	7	""
"Average"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	59	""
"Average"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	33	""
"Average"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	7	""
